,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Converted,City_encoded,lead origin encoded,lead sources encoded,last activity encoded,lead quality encoded,last notable activity encoded,copy of interview encoded,do not email encoded
51,5.0,160,5.0,0,0,1,3,5,3,4,0,0
52,6.0,394,2.0,0,0,1,7,13,2,8,1,0
53,6.0,286,1.5,0,0,0,3,9,3,8,0,0
54,7.0,96,2.33,0,0,0,7,5,3,4,0,0
55,2.0,12,2.0,0,0,0,7,5,3,4,0,0
56,13.0,436,13.0,1,3,1,11,7,1,8,0,0
57,8.0,903,8.0,1,2,0,11,10,0,10,0,0
58,17.0,409,8.5,0,0,1,7,5,3,8,1,0
59,11.0,685,5.5,0,4,1,11,5,3,4,1,0
60,4.0,213,4.0,0,0,0,3,7,3,8,0,0
61,0.0,0,0.0,0,0,0,6,5,3,4,0,0
62,7.0,1468,3.5,1,0,0,7,10,0,8,0,0
63,0.0,0,0.0,0,0,0,6,3,3,8,0,0
64,4.0,1435,4.0,1,1,1,1,5,2,4,1,0
65,1.0,157,1.0,1,2,1,3,1,2,8,0,0
66,3.0,885,1.5,1,0,0,3,8,0,7,0,0
67,0.0,0,0.0,1,2,0,6,5,1,8,0,0
68,0.0,0,0.0,0,0,0,6,15,1,8,0,0
69,0.0,0,0.0,0,0,0,6,9,3,8,0,0
70,1.0,1710,1.0,0,4,1,1,1,4,8,1,0
71,4.0,219,4.0,0,0,1,1,5,3,4,0,0
72,3.0,111,3.0,0,3,1,11,2,3,8,1,1
73,6.0,224,6.0,0,0,0,7,10,3,8,0,0
74,5.0,224,1.67,0,2,1,1,10,3,10,1,0
75,2.0,1071,2.0,1,2,1,1,5,3,4,1,0
76,6.0,595,3.0,1,0,1,3,5,1,4,0,0
77,3.0,1096,2.0,1,0,2,14,5,3,8,0,0
78,4.0,520,4.0,0,0,0,11,5,3,4,0,0
79,3.0,705,2.0,1,4,2,10,5,1,8,0,0
80,2.0,393,2.0,0,0,0,3,5,3,4,0,0
81,3.0,346,2.0,1,0,2,14,5,3,8,0,0
82,0.0,0,0.0,1,0,0,6,3,2,2,0,0
83,0.0,0,0.0,0,0,0,6,9,3,8,0,0
84,3.0,1136,3.0,1,0,1,3,10,2,8,0,0
85,3.0,335,3.0,0,0,0,11,5,3,8,0,0
86,4.0,75,4.0,0,0,0,11,5,3,4,0,0
87,6.0,97,3.0,0,0,1,1,5,3,4,1,0
88,3.0,1007,2.0,1,0,2,10,5,0,8,0,0
89,2.0,1085,2.0,0,2,1,7,1,3,8,1,0
90,3.0,214,3.0,0,0,0,7,10,3,8,0,0
91,6.0,1158,1.5,1,1,0,6,5,3,4,1,0
92,4.0,101,4.0,0,0,1,3,5,3,4,0,0
93,9.0,838,4.5,0,0,1,3,5,3,4,0,0
94,3.0,536,3.0,0,0,1,1,13,3,8,1,0
95,4.0,161,2.0,0,0,1,1,13,3,13,0,0
96,2.0,511,2.0,0,0,1,3,7,3,8,0,0
97,0.0,0,0.0,0,0,0,6,9,3,8,0,0
98,5.0,1110,5.0,1,0,0,3,9,2,8,0,0
99,5.0,1563,5.0,1,0,1,1,5,0,4,1,0
100,7.0,1633,3.5,0,0,0,11,1,3,8,0,0
101,0.0,0,0.0,1,0,0,6,5,3,8,0,0
102,12.0,809,4.0,0,0,1,3,13,3,8,0,0
103,2.0,638,2.0,0,0,1,1,10,3,8,1,0
104,5.0,1196,5.0,1,0,0,3,10,3,8,0,0
105,6.0,1485,6.0,0,1,1,7,5,3,4,1,0
106,9.0,125,3.0,0,0,0,3,10,3,8,0,0
107,3.0,165,3.0,1,0,0,3,9,3,8,0,0
108,6.0,398,3.0,0,0,1,3,9,3,9,1,0
109,3.0,570,3.0,0,0,0,7,1,3,8,0,0
110,6.0,895,6.0,1,2,1,7,5,2,4,1,0
111,4.0,1190,4.0,1,0,1,3,5,2,4,0,0
112,0.0,0,0.0,1,0,2,10,3,0,2,0,0
113,5.0,1566,5.0,0,0,0,1,1,3,8,0,0
114,5.0,727,5.0,1,4,0,3,5,0,4,0,0
115,8.0,652,4.0,0,0,1,3,13,3,8,0,0
116,4.0,1248,1.33,0,0,0,7,5,3,4,0,0
117,2.0,767,2.0,0,0,0,3,5,4,8,0,0
118,10.0,275,3.33,0,0,0,11,10,3,10,0,0
119,3.0,273,3.0,0,0,0,7,1,3,8,0,0
120,3.0,1111,2.0,1,1,2,10,5,1,8,0,0
121,8.0,277,4.0,0,0,1,3,5,3,4,0,0
122,3.0,1207,1.5,1,0,0,7,9,3,8,0,0
123,2.0,39,1.0,0,0,0,3,1,3,8,0,0
124,4.0,1638,4.0,0,0,1,3,5,3,4,1,0
125,16.0,53,16.0,0,0,0,11,9,3,8,0,0
126,1.0,127,1.0,0,0,1,1,1,3,8,1,0
127,5.0,100,5.0,0,0,1,7,10,3,8,1,1
128,4.0,323,4.0,0,0,1,3,14,3,14,0,1
129,2.0,160,1.0,1,0,0,3,9,3,8,0,0
130,0.0,0,0.0,1,0,2,10,5,0,8,0,0
131,1.0,263,1.0,0,0,0,3,1,3,8,0,0
132,2.0,1218,2.0,0,0,0,3,9,3,8,0,0
133,3.0,986,2.0,1,0,2,10,5,0,8,0,0
134,3.0,889,2.0,1,0,2,14,5,3,8,0,0
135,5.0,1091,5.0,1,0,1,3,13,0,13,0,0
136,4.0,291,4.0,0,1,1,1,9,3,8,1,0
137,0.0,0,0.0,1,4,2,10,5,0,8,0,0
138,1.0,1759,1.0,0,0,0,3,9,3,9,0,1
139,7.0,41,3.5,0,0,1,11,5,3,4,1,0
140,5.0,386,5.0,0,4,1,3,5,3,8,0,0
141,6.0,216,2.0,0,0,0,11,10,3,10,0,0
142,5.0,1603,5.0,1,0,1,3,5,0,4,0,0
143,7.0,106,3.5,0,1,1,17,10,3,8,0,0
144,2.0,73,2.0,0,0,0,3,13,3,8,0,0
145,2.0,77,2.0,0,0,0,3,1,3,8,0,0
146,3.0,718,3.0,0,4,1,1,13,3,8,1,0
147,5.0,432,1.67,0,0,1,3,9,3,9,0,0
148,5.0,232,2.5,0,1,1,3,5,2,4,0,0
149,2.0,702,2.0,0,1,1,1,5,3,4,1,0
150,5.0,614,5.0,1,4,1,7,13,1,13,1,0
151,1.0,1808,1.0,1,4,1,1,1,3,8,1,0
152,2.0,234,1.0,0,0,1,1,2,3,8,1,1
153,3.0,245,3.0,0,4,1,1,13,2,8,1,0
154,8.0,1268,4.0,1,0,1,7,5,3,4,1,0
155,2.0,56,2.0,0,0,1,3,2,3,8,0,0
156,4.0,174,2.0,0,0,0,11,3,3,8,0,0
157,4.0,1149,2.0,0,0,1,1,5,3,4,0,0
158,2.0,333,2.0,0,1,1,1,5,3,4,1,0
159,7.0,471,2.33,0,0,0,7,5,3,4,0,0
160,3.0,1010,3.0,1,3,1,1,5,2,4,1,0
161,10.0,1815,3.33,1,2,0,6,8,0,7,1,0
162,2.0,47,2.0,0,1,1,1,3,3,2,1,0
163,3.0,1528,1.5,1,1,1,1,5,2,8,1,0
164,6.0,919,6.0,1,0,1,3,5,0,4,0,0
165,10.0,194,5.0,0,0,0,7,3,3,8,0,0
166,1.0,1173,1.0,0,0,0,7,1,3,8,0,0
167,2.0,351,2.0,0,0,0,3,5,2,4,0,0
168,12.0,493,12.0,0,4,1,11,3,3,2,1,0
169,3.0,381,1.5,0,4,1,1,10,3,10,1,0
170,2.0,1944,2.0,0,0,0,11,5,3,4,0,0
171,5.0,65,5.0,0,4,1,3,13,2,8,0,0
172,7.0,1334,7.0,0,0,0,7,5,3,8,1,0
173,7.0,615,7.0,0,4,0,3,7,3,8,0,0
174,0.0,0,0.0,1,0,2,10,5,1,4,0,0
175,1.0,250,1.0,0,0,0,3,2,3,8,0,0
176,2.0,383,2.0,0,3,1,1,3,3,2,1,0
177,3.0,1240,2.0,1,0,2,14,5,1,8,0,0
178,0.0,0,0.0,1,0,2,10,5,2,4,0,0
179,3.0,458,2.0,1,0,2,14,5,3,8,0,0
180,3.0,1060,2.0,1,0,2,14,5,3,8,0,0
181,0.0,0,0.0,0,0,0,6,5,3,8,0,0
182,4.0,904,4.0,0,0,0,11,9,3,8,0,0
183,1.0,164,1.0,0,0,0,3,1,3,8,0,0
184,2.0,1793,2.0,0,0,0,3,1,3,8,0,0
185,5.0,1841,5.0,0,0,0,7,9,3,8,0,0
186,8.0,877,2.67,1,0,0,7,3,2,2,0,0
187,0.0,0,0.0,1,0,2,10,13,0,8,0,0
188,12.0,1411,6.0,1,1,1,7,5,2,4,1,0
189,6.0,385,6.0,1,4,0,7,1,1,8,0,0
190,0.0,0,0.0,0,0,0,6,9,3,8,0,0
191,12.0,68,1.71,0,0,0,3,10,3,8,0,0
192,0.0,0,0.0,0,0,0,6,9,3,8,0,0
193,3.0,192,3.0,0,4,1,3,5,3,4,0,0
194,5.0,309,5.0,0,0,1,3,9,3,8,0,0
195,3.0,785,2.0,1,0,2,10,0,2,8,0,0
196,4.0,342,4.0,0,0,0,7,5,3,8,0,0
197,2.0,78,1.0,0,0,0,3,5,3,4,0,0
198,0.0,0,0.0,0,0,0,6,9,3,8,0,0
199,0.0,0,0.0,0,0,0,6,9,3,8,0,0
200,5.0,1234,1.67,1,4,0,7,5,1,4,0,0
201,8.0,14,8.0,0,0,0,7,9,4,8,0,0
202,0.0,0,0.0,0,0,0,6,9,3,8,0,0
203,4.0,77,4.0,0,0,0,11,13,3,8,0,0
204,3.0,1299,3.0,1,0,0,11,9,3,8,0,0
205,0.0,0,0.0,1,2,2,10,5,0,4,0,0
206,2.0,457,2.0,0,0,0,11,5,3,8,0,0
207,5.0,358,5.0,0,0,0,7,10,3,8,0,0
208,3.0,481,3.0,0,1,1,1,3,3,2,1,0
209,2.0,205,2.0,0,0,0,1,9,3,8,0,0
210,1.0,1106,1.0,1,1,1,1,1,2,8,1,0
211,9.0,1953,1.8,1,4,1,1,5,2,8,0,0
212,3.0,1070,2.0,1,1,2,10,5,0,8,0,0
213,0.0,0,0.0,1,0,2,10,5,2,4,0,0
214,5.0,207,2.5,0,0,1,3,7,3,8,0,0
215,2.0,1587,2.0,1,1,1,1,5,2,4,0,0
216,2.0,1509,2.0,1,0,1,1,5,4,8,1,0
217,4.0,331,4.0,0,0,0,7,13,2,8,0,0
218,4.0,187,4.0,0,0,1,1,3,3,8,1,0
219,3.0,1407,1.5,1,0,0,7,1,2,8,0,0
220,0.0,0,0.0,1,0,2,10,5,0,8,0,0
221,1.0,123,1.0,0,1,1,3,1,2,8,0,0
222,1.0,100,1.0,0,0,0,7,1,3,8,0,0
223,9.0,1164,4.5,1,0,1,1,5,2,4,1,0
224,0.0,0,0.0,0,0,0,6,5,3,4,0,0
225,1.0,1362,1.0,1,2,1,1,13,2,8,0,0
226,7.0,1051,3.5,0,0,0,1,9,3,8,0,0
227,2.0,1816,2.0,0,4,1,3,1,3,8,0,0
228,7.0,74,2.33,0,0,1,1,13,3,8,0,0
229,13.0,54,6.5,0,0,0,7,5,3,4,0,0
230,3.0,1183,3.0,1,4,1,1,5,3,4,1,0
231,3.0,66,3.0,0,4,1,1,5,3,4,1,0
232,3.0,1122,1.5,0,0,0,6,5,3,4,0,0
233,6.0,135,6.0,0,0,1,7,5,2,4,1,0
234,9.0,307,1.8,0,0,1,1,9,3,8,1,0
235,12.0,28,6.0,0,1,1,7,5,2,4,1,0
236,0.0,0,0.0,0,0,0,6,5,3,4,0,0
237,5.0,306,5.0,0,1,1,17,10,3,8,0,0
238,7.0,116,7.0,1,0,1,1,5,1,4,1,0
239,2.0,1054,2.0,0,0,1,1,5,3,4,1,0
240,3.0,195,3.0,1,0,0,7,1,2,8,0,0
241,0.0,0,0.0,0,0,0,6,9,3,8,0,0
242,3.0,732,3.0,1,4,1,3,5,2,4,0,0
243,7.0,1130,2.33,0,0,0,6,10,3,8,1,0
244,13.0,594,4.33,0,0,0,7,8,3,8,0,0
245,5.0,1117,5.0,0,0,0,7,5,3,4,0,0
246,14.0,354,14.0,0,0,0,11,13,2,8,0,0
247,3.0,217,3.0,0,0,0,3,13,2,8,0,0
248,0.0,0,0.0,0,0,0,6,9,3,8,0,0
249,5.0,1837,2.5,1,4,0,1,5,0,4,0,0
250,1.0,302,1.0,0,4,1,3,1,3,8,0,0
251,6.0,32,6.0,0,0,1,3,10,3,8,0,0
252,1.0,1226,1.0,0,5,1,1,1,3,8,1,0
253,4.0,144,4.0,0,2,1,3,5,3,4,0,0
254,2.0,631,1.0,1,0,0,7,9,3,8,0,0
255,1.0,891,1.0,1,2,1,1,1,1,8,1,0
256,0.0,0,0.0,0,0,0,6,9,3,8,0,0
257,3.0,235,3.0,0,0,0,3,5,3,4,0,0
258,2.0,453,2.0,0,0,1,3,3,3,8,0,0
259,3.0,60,1.5,0,0,0,11,10,3,10,0,0
260,0.0,0,0.0,1,0,2,14,5,3,8,0,0
261,9.0,96,4.5,0,0,0,7,10,3,8,0,0
262,0.0,0,0.0,1,0,2,14,5,3,4,0,0
263,0.0,0,0.0,0,0,0,6,9,3,8,0,0
264,11.0,825,11.0,1,4,0,11,9,1,8,0,0
265,0.0,0,0.0,0,0,0,6,9,3,9,0,0
266,11.0,10,5.5,0,0,0,1,10,3,10,0,0
267,3.0,1704,2.0,1,0,2,10,5,2,8,0,0
268,3.0,1154,1.0,1,0,0,7,9,3,8,0,0
269,3.0,1262,2.0,1,2,2,10,5,0,8,0,0
270,0.0,0,0.0,1,0,2,10,5,2,4,0,0
271,6.0,104,3.0,1,3,1,11,5,3,4,1,0
272,3.0,331,3.0,0,0,0,3,5,3,4,0,0
273,5.0,294,2.5,0,0,1,3,5,3,4,0,0
274,5.0,345,5.0,0,0,0,7,5,3,4,0,0
275,2.0,172,2.0,0,0,0,3,9,3,8,0,0
276,4.0,228,4.0,1,4,1,3,5,1,4,0,0
277,5.0,26,5.0,0,4,1,7,5,3,4,1,0
278,0.0,0,0.0,0,0,0,6,9,3,8,0,0
279,4.0,436,4.0,0,0,0,11,3,3,2,0,0
280,5.0,1008,5.0,0,0,1,17,10,3,8,0,0
281,17.0,71,3.4,0,2,1,11,13,2,8,0,0
282,8.0,43,8.0,0,0,1,3,9,2,8,0,0
283,4.0,294,4.0,0,0,1,3,5,3,4,0,0
284,2.0,1528,1.0,0,0,0,7,9,3,8,0,0
285,0.0,0,0.0,0,0,0,6,9,3,9,0,0
286,0.0,0,0.0,0,0,0,6,5,3,4,0,0
287,1.0,213,1.0,0,0,0,11,1,3,8,0,0
288,4.0,31,1.33,1,1,1,7,5,2,4,1,0
289,3.0,389,3.0,0,0,0,3,5,3,4,0,0
290,0.0,0,0.0,0,0,0,6,9,3,8,0,0
291,4.0,97,4.0,0,0,0,3,9,3,8,0,0
292,13.0,194,13.0,0,0,1,1,5,3,4,1,0
293,2.0,526,2.0,1,0,1,1,7,3,8,0,0
294,10.0,11,10.0,0,0,0,3,15,3,8,0,0
295,5.0,297,2.5,0,0,0,7,3,3,2,0,0
296,4.0,174,4.0,0,0,1,1,5,3,4,0,0
297,4.0,12,4.0,0,1,1,7,10,2,8,1,0
298,5.0,254,1.25,1,0,1,1,5,3,4,1,0
299,3.0,803,2.0,1,0,2,10,5,1,8,0,0
300,0.0,0,0.0,0,0,0,6,9,3,8,0,0
301,4.0,595,4.0,1,4,1,3,10,3,8,0,0
302,7.0,250,2.33,0,0,0,11,5,3,4,0,0
303,11.0,1189,11.0,0,0,1,3,5,3,4,0,0
304,5.0,73,5.0,0,0,1,3,5,2,4,0,0
305,3.0,491,3.0,0,0,1,1,5,1,8,1,0
306,7.0,1281,1.75,1,0,0,3,2,2,1,0,1
307,3.0,117,3.0,1,0,0,7,9,2,8,0,0
308,5.0,1493,1.67,0,0,0,3,5,3,4,0,0
309,5.0,263,2.5,1,0,1,3,5,2,4,0,0
310,7.0,207,3.5,0,0,0,3,5,3,4,0,0
311,4.0,67,4.0,0,0,1,3,10,3,8,0,0
312,6.0,866,3.0,0,0,0,11,5,3,4,0,0
313,6.0,419,6.0,0,0,1,7,13,3,8,1,0
314,11.0,188,5.5,0,0,0,7,3,3,2,0,0
315,2.0,362,2.0,0,0,0,3,3,3,8,0,0
316,3.0,199,3.0,0,0,1,3,7,2,8,0,0
317,10.0,556,5.0,1,0,0,3,9,2,8,0,0
318,5.0,1536,5.0,1,4,0,11,5,1,4,0,0
319,4.0,1088,4.0,1,0,0,3,10,0,8,0,0
320,6.0,863,6.0,1,4,1,11,5,1,4,1,0
321,4.0,1410,4.0,0,0,1,1,2,3,8,0,1
322,8.0,76,8.0,0,0,0,7,2,3,8,0,1
323,0.0,0,0.0,0,0,0,6,5,3,4,0,0
324,6.0,209,3.0,0,2,1,1,10,3,8,1,0
325,5.0,58,5.0,0,0,1,3,5,3,4,0,0
326,6.0,90,2.0,0,0,0,3,10,3,8,0,0
327,7.0,950,2.33,1,0,0,7,5,2,4,0,0
328,0.0,0,0.0,0,1,0,6,5,1,8,0,0
329,8.0,149,2.0,0,0,1,3,9,3,9,1,0
330,4.0,3,4.0,0,1,1,1,9,3,8,1,0
331,7.0,901,7.0,1,0,1,1,5,1,4,0,0
332,0.0,0,0.0,0,0,0,6,9,3,8,0,0
333,6.0,110,3.0,0,0,0,11,3,3,2,0,0
334,0.0,0,0.0,0,0,0,6,5,3,4,0,0
335,0.0,0,0.0,1,0,2,10,5,0,4,0,0
336,3.0,445,3.0,0,0,0,3,3,3,8,0,0
337,7.0,1939,2.33,0,0,1,3,5,3,4,0,0
338,0.0,0,0.0,0,0,0,6,9,3,8,0,0
339,3.0,199,1.5,0,4,0,3,5,1,8,0,0
340,1.0,633,1.0,0,0,0,1,1,3,8,0,0
341,4.0,457,2.0,0,0,0,3,5,3,8,0,0
342,4.0,86,4.0,0,0,0,11,9,3,8,0,0
343,7.0,57,2.33,0,0,1,3,5,3,4,0,0
344,0.0,0,0.0,0,0,0,6,5,3,8,0,0
345,21.0,1113,2.63,1,0,1,7,5,1,4,1,0
346,4.0,237,4.0,0,0,0,11,5,3,4,0,0
347,2.0,43,2.0,0,0,1,3,7,3,8,0,0
348,3.0,43,2.0,1,0,2,10,5,3,8,0,0
349,0.0,0,0.0,0,0,0,6,9,3,8,0,0
350,0.0,0,0.0,1,4,2,3,5,0,4,0,0
351,0.0,0,0.0,0,0,0,6,9,3,8,0,0
352,2.0,1366,2.0,0,0,0,7,9,3,8,0,0
353,0.0,0,0.0,1,0,2,10,3,1,2,0,0
354,3.0,124,3.0,0,0,0,7,1,3,8,0,0
355,2.0,135,2.0,0,0,0,3,5,3,4,0,0
356,5.0,1216,2.5,1,1,1,11,5,2,4,1,0
357,3.0,35,3.0,0,0,1,1,5,3,4,1,0
358,0.0,0,0.0,1,1,0,6,13,1,13,0,0
359,4.0,157,4.0,0,2,1,3,5,3,4,0,0
360,0.0,0,0.0,0,0,0,6,9,3,8,0,0
361,3.0,170,1.5,0,0,0,11,5,3,4,0,0
362,4.0,71,4.0,0,0,0,7,9,3,8,0,0
363,5.0,811,5.0,0,0,1,7,5,3,4,1,0
364,3.0,972,2.0,1,0,2,10,5,1,8,0,0
365,10.0,278,5.0,0,0,0,11,10,3,10,0,0
366,0.0,0,0.0,0,0,0,6,5,3,4,0,0
367,5.0,809,5.0,0,0,0,11,10,3,8,0,0
368,0.0,0,0.0,0,0,0,6,9,3,9,0,0
369,3.0,781,2.0,1,0,2,10,5,1,8,0,0
370,4.0,1226,4.0,1,0,1,3,5,1,4,0,0
371,5.0,1469,2.5,0,0,1,3,3,3,2,0,0
372,5.0,253,1.67,0,0,0,11,5,3,4,0,0
373,0.0,0,0.0,1,0,2,14,5,0,8,0,0
374,4.0,1378,4.0,1,0,1,7,8,2,8,0,0
375,10.0,66,10.0,0,0,0,11,5,3,8,0,0
376,4.0,372,4.0,0,0,1,3,10,3,8,0,0
377,3.0,1636,1.5,1,0,0,7,10,3,10,0,0
378,2.0,376,2.0,0,0,0,3,5,3,4,0,0
379,1.0,214,1.0,1,1,1,3,1,3,8,0,0
380,0.0,0,0.0,0,0,0,6,9,3,8,0,0
381,0.0,0,0.0,0,0,0,6,9,3,8,0,1
382,8.0,93,8.0,0,1,1,7,5,3,4,1,0
383,0.0,0,0.0,0,0,0,6,5,3,4,0,0
384,3.0,365,3.0,0,0,1,1,5,3,4,1,0
385,6.0,274,2.0,1,0,1,3,5,2,4,0,0
386,4.0,179,4.0,0,0,0,11,5,3,4,0,0
387,15.0,753,15.0,0,0,1,3,13,2,8,1,0
388,3.0,1346,3.0,0,2,1,1,5,3,4,1,0
389,7.0,277,3.5,0,0,0,3,5,3,4,0,0
390,2.0,90,2.0,0,0,0,3,5,3,4,0,0
391,0.0,0,0.0,0,0,0,6,9,3,8,0,0
392,9.0,1289,2.25,1,0,1,3,5,0,4,1,0
393,8.0,246,2.67,0,0,0,11,5,3,4,0,0
394,11.0,116,3.67,0,2,1,3,10,3,10,0,0
395,0.0,0,0.0,0,0,0,6,5,3,4,0,0
396,5.0,472,5.0,1,0,1,3,8,2,7,1,0
397,2.0,395,1.0,0,0,0,3,5,3,4,0,0
398,0.0,0,0.0,0,0,0,6,13,3,13,0,0
399,0.0,0,0.0,0,0,0,6,5,3,8,0,0
400,4.0,1354,4.0,1,0,1,1,14,2,14,1,1
401,5.0,1102,5.0,1,0,1,7,5,1,4,1,0
402,0.0,0,0.0,0,0,0,6,9,3,8,0,0
403,2.0,1268,2.0,0,0,0,3,5,3,4,0,0
404,5.0,1354,2.5,1,0,0,7,5,2,8,0,0
405,3.0,1561,1.5,1,0,0,11,8,2,8,0,0
406,10.0,1128,1.43,1,0,1,3,5,0,4,1,0
407,4.0,1341,2.0,1,0,0,7,5,4,4,0,0
408,2.0,250,2.0,0,4,1,3,7,3,8,0,0
409,2.0,250,2.0,0,0,0,7,5,2,4,0,0
410,2.0,248,2.0,0,0,0,7,5,3,4,0,0
411,2.0,402,2.0,0,3,1,1,14,3,14,0,1
412,1.0,235,1.0,0,0,0,11,1,3,8,0,0
413,6.0,125,3.0,0,0,0,7,5,3,4,0,0
414,2.0,236,2.0,0,0,0,7,1,3,8,0,0
415,9.0,110,9.0,0,0,0,11,5,3,4,0,0
416,7.0,265,3.5,0,0,0,7,2,2,1,0,1
417,7.0,109,7.0,0,0,1,3,5,2,4,0,0
418,3.0,98,3.0,0,0,1,3,5,3,8,0,0
419,7.0,315,3.5,0,3,1,11,5,3,4,1,0
420,2.0,339,2.0,0,0,0,3,13,3,8,0,0
421,3.0,211,3.0,0,0,1,1,5,3,4,1,0
422,2.0,703,2.0,1,0,1,1,5,2,4,1,0
423,13.0,408,6.5,0,0,1,7,5,3,4,1,0
424,11.0,366,3.67,0,4,0,11,5,1,8,0,0
425,5.0,106,5.0,0,0,1,7,13,3,8,0,1
426,2.0,1099,2.0,1,0,1,3,12,2,8,0,0
427,11.0,306,11.0,0,4,0,7,10,3,8,1,0
428,9.0,290,3.0,0,4,0,3,10,3,10,1,0
429,11.0,220,11.0,0,4,0,7,10,2,8,1,0
430,8.0,235,8.0,1,0,1,3,5,1,8,0,0
431,6.0,25,3.0,0,1,1,1,5,3,4,1,0
432,7.0,463,3.5,0,0,0,7,13,2,8,0,0
433,2.0,398,2.0,0,1,1,1,5,3,4,1,0
434,3.0,623,3.0,0,0,0,7,5,3,4,0,0
435,4.0,281,4.0,0,0,1,3,5,2,4,0,0
436,3.0,46,3.0,0,0,1,1,3,3,2,1,0
437,0.0,0,0.0,0,0,0,6,9,4,8,0,0
438,9.0,1468,9.0,1,0,1,3,10,1,8,0,0
439,5.0,615,2.5,0,1,1,7,2,3,1,1,1
440,6.0,424,3.0,0,0,0,3,5,3,8,0,0
441,4.0,3,4.0,0,2,1,3,5,3,4,0,0
442,3.0,64,3.0,0,0,0,11,5,3,8,0,0
443,2.0,107,2.0,1,1,1,1,5,2,4,0,0
444,3.0,150,1.5,0,0,0,11,5,3,4,0,0
445,5.0,663,5.0,0,0,1,3,13,2,8,0,0
446,0.0,0,0.0,1,0,2,10,12,2,8,0,0
447,0.0,0,0.0,1,0,2,14,12,3,8,0,0
448,0.0,0,0.0,1,0,2,10,5,0,4,0,0
449,0.0,0,0.0,1,0,2,14,9,3,9,0,0
450,3.0,185,3.0,0,0,0,7,1,2,8,0,0
451,8.0,321,4.0,0,0,1,1,5,3,4,1,0
452,4.0,1357,4.0,1,4,1,3,12,2,8,0,0
453,4.0,1447,4.0,0,3,1,1,12,3,8,1,0
454,1.0,990,1.0,1,0,2,10,10,1,10,0,0
455,2.0,44,2.0,0,0,0,3,10,3,10,0,0
