,Lead Origin,Lead Source,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Lead Quality,City,Last Notable Activity,A free copy of Mastering The Interview,Do Not Email,Converted
80,API,Google,2.0,393,2.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
81,Lead Add Form,Welingak Website,3.0,346,2.0,Email Opened,Not Sure,Mumbai,Modified,No,No,1
82,API,Olark Chat,0.0,0,0.0,Email Link Clicked,Might be,Mumbai,Email Link Clicked,No,No,1
83,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
84,Landing Page Submission,Google,3.0,1136,3.0,Page Visited on Website,Might be,Mumbai,Modified,No,No,1
85,API,Referral Sites,3.0,335,3.0,Email Opened,Not Sure,Mumbai,Modified,No,No,0
86,API,Referral Sites,4.0,75,4.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
87,Landing Page Submission,Direct Traffic,6.0,97,3.0,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,0
88,Lead Add Form,Reference,3.0,1007,2.0,Email Opened,High in Relevance,Mumbai,Modified,No,No,1
89,Landing Page Submission,Organic Search,2.0,1085,2.0,Converted to Lead,Not Sure,Other Cities of Maharashtra,Modified,Yes,No,0
90,API,Organic Search,3.0,214,3.0,Page Visited on Website,Not Sure,Mumbai,Modified,No,No,0
91,API,Olark Chat,6.0,1158,1.5,Email Opened,Not Sure,Other Cities,Email Opened,Yes,No,1
92,Landing Page Submission,Google,4.0,101,4.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
93,Landing Page Submission,Google,9.0,838,4.5,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
94,Landing Page Submission,Direct Traffic,3.0,536,3.0,Unreachable,Not Sure,Mumbai,Modified,Yes,No,0
95,Landing Page Submission,Direct Traffic,4.0,161,2.0,Unreachable,Not Sure,Mumbai,Unreachable,No,No,0
96,Landing Page Submission,Google,2.0,511,2.0,Form Submitted on Website,Not Sure,Mumbai,Modified,No,No,0
97,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
98,API,Google,5.0,1110,5.0,Olark Chat Conversation,Might be,Mumbai,Modified,No,No,1
99,Landing Page Submission,Direct Traffic,5.0,1563,5.0,Email Opened,High in Relevance,Mumbai,Email Opened,Yes,No,1
100,API,Referral Sites,7.0,1633,3.5,Converted to Lead,Not Sure,Mumbai,Modified,No,No,0
101,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Modified,No,No,1
102,Landing Page Submission,Google,12.0,809,4.0,Unreachable,Not Sure,Mumbai,Modified,No,No,0
103,Landing Page Submission,Direct Traffic,2.0,638,2.0,Page Visited on Website,Not Sure,Mumbai,Modified,Yes,No,0
104,API,Google,5.0,1196,5.0,Page Visited on Website,Not Sure,Mumbai,Modified,No,No,1
105,Landing Page Submission,Organic Search,6.0,1485,6.0,Email Opened,Not Sure,Other Cities,Email Opened,Yes,No,0
106,API,Google,9.0,125,3.0,Page Visited on Website,Not Sure,Mumbai,Modified,No,No,0
107,API,Google,3.0,165,3.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,1
108,Landing Page Submission,Google,6.0,398,3.0,Olark Chat Conversation,Not Sure,Mumbai,Olark Chat Conversation,Yes,No,0
109,API,Organic Search,3.0,570,3.0,Converted to Lead,Not Sure,Mumbai,Modified,No,No,0
110,Landing Page Submission,Organic Search,6.0,895,6.0,Email Opened,Might be,Other Cities of Maharashtra,Email Opened,Yes,No,1
111,Landing Page Submission,Google,4.0,1190,4.0,Email Opened,Might be,Mumbai,Email Opened,No,No,1
112,Lead Add Form,Reference,0.0,0,0.0,Email Link Clicked,High in Relevance,Mumbai,Email Link Clicked,No,No,1
113,API,Direct Traffic,5.0,1566,5.0,Converted to Lead,Not Sure,Mumbai,Modified,No,No,0
114,API,Google,5.0,727,5.0,Email Opened,High in Relevance,Thane & Outskirts,Email Opened,No,No,1
115,Landing Page Submission,Google,8.0,652,4.0,Unreachable,Not Sure,Mumbai,Modified,No,No,0
116,API,Organic Search,4.0,1248,1.33,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
117,API,Google,2.0,767,2.0,Email Opened,Worst,Mumbai,Modified,No,No,0
118,API,Referral Sites,10.0,275,3.33,Page Visited on Website,Not Sure,Mumbai,Page Visited on Website,No,No,0
119,API,Organic Search,3.0,273,3.0,Converted to Lead,Not Sure,Mumbai,Modified,No,No,0
120,Lead Add Form,Reference,3.0,1111,2.0,Email Opened,Low in Relevance,Other Cities,Modified,No,No,1
121,Landing Page Submission,Google,8.0,277,4.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
122,API,Organic Search,3.0,1207,1.5,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,1
123,API,Google,2.0,39,1.0,Converted to Lead,Not Sure,Mumbai,Modified,No,No,0
124,Landing Page Submission,Google,4.0,1638,4.0,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,0
125,API,Referral Sites,16.0,53,16.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
126,Landing Page Submission,Direct Traffic,1.0,127,1.0,Converted to Lead,Not Sure,Mumbai,Modified,Yes,No,0
127,Landing Page Submission,Organic Search,5.0,100,5.0,Page Visited on Website,Not Sure,Mumbai,Modified,Yes,Yes,0
128,Landing Page Submission,Google,4.0,323,4.0,Unsubscribed,Not Sure,Mumbai,Unsubscribed,No,Yes,0
129,API,Google,2.0,160,1.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,1
130,Lead Add Form,Reference,0.0,0,0.0,Email Opened,High in Relevance,Mumbai,Modified,No,No,1
131,API,Google,1.0,263,1.0,Converted to Lead,Not Sure,Mumbai,Modified,No,No,0
132,API,Google,2.0,1218,2.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
133,Lead Add Form,Reference,3.0,986,2.0,Email Opened,High in Relevance,Mumbai,Modified,No,No,1
134,Lead Add Form,Welingak Website,3.0,889,2.0,Email Opened,Not Sure,Mumbai,Modified,No,No,1
135,Landing Page Submission,Google,5.0,1091,5.0,Unreachable,High in Relevance,Mumbai,Unreachable,No,No,1
136,Landing Page Submission,Direct Traffic,4.0,291,4.0,Olark Chat Conversation,Not Sure,Other Cities,Modified,Yes,No,0
137,Lead Add Form,Reference,0.0,0,0.0,Email Opened,High in Relevance,Thane & Outskirts,Modified,No,No,1
138,API,Google,1.0,1759,1.0,Olark Chat Conversation,Not Sure,Mumbai,Olark Chat Conversation,No,Yes,0
139,Landing Page Submission,Referral Sites,7.0,41,3.5,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,0
140,Landing Page Submission,Google,5.0,386,5.0,Email Opened,Not Sure,Thane & Outskirts,Modified,No,No,0
141,API,Referral Sites,6.0,216,2.0,Page Visited on Website,Not Sure,Mumbai,Page Visited on Website,No,No,0
142,Landing Page Submission,Google,5.0,1603,5.0,Email Opened,High in Relevance,Mumbai,Email Opened,No,No,1
143,Landing Page Submission,google,7.0,106,3.5,Page Visited on Website,Not Sure,Other Cities,Modified,No,No,0
144,API,Google,2.0,73,2.0,Unreachable,Not Sure,Mumbai,Modified,No,No,0
145,API,Google,2.0,77,2.0,Converted to Lead,Not Sure,Mumbai,Modified,No,No,0
146,Landing Page Submission,Direct Traffic,3.0,718,3.0,Unreachable,Not Sure,Thane & Outskirts,Modified,Yes,No,0
147,Landing Page Submission,Google,5.0,432,1.67,Olark Chat Conversation,Not Sure,Mumbai,Olark Chat Conversation,No,No,0
148,Landing Page Submission,Google,5.0,232,2.5,Email Opened,Might be,Other Cities,Email Opened,No,No,0
149,Landing Page Submission,Direct Traffic,2.0,702,2.0,Email Opened,Not Sure,Other Cities,Email Opened,Yes,No,0
150,Landing Page Submission,Organic Search,5.0,614,5.0,Unreachable,Low in Relevance,Thane & Outskirts,Unreachable,Yes,No,1
151,Landing Page Submission,Direct Traffic,1.0,1808,1.0,Converted to Lead,Not Sure,Thane & Outskirts,Modified,Yes,No,1
152,Landing Page Submission,Direct Traffic,2.0,234,1.0,Email Bounced,Not Sure,Mumbai,Modified,Yes,Yes,0
153,Landing Page Submission,Direct Traffic,3.0,245,3.0,Unreachable,Might be,Thane & Outskirts,Modified,Yes,No,0
154,Landing Page Submission,Organic Search,8.0,1268,4.0,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,1
155,Landing Page Submission,Google,2.0,56,2.0,Email Bounced,Not Sure,Mumbai,Modified,No,No,0
156,API,Referral Sites,4.0,174,2.0,Email Link Clicked,Not Sure,Mumbai,Modified,No,No,0
157,Landing Page Submission,Direct Traffic,4.0,1149,2.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
158,Landing Page Submission,Direct Traffic,2.0,333,2.0,Email Opened,Not Sure,Other Cities,Email Opened,Yes,No,0
159,API,Organic Search,7.0,471,2.33,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
160,Landing Page Submission,Direct Traffic,3.0,1010,3.0,Email Opened,Might be,Other Metro Cities,Email Opened,Yes,No,1
161,API,Olark Chat,10.0,1815,3.33,Had a Phone Conversation,High in Relevance,Other Cities of Maharashtra,Had a Phone Conversation,Yes,No,1
162,Landing Page Submission,Direct Traffic,2.0,47,2.0,Email Link Clicked,Not Sure,Other Cities,Email Link Clicked,Yes,No,0
163,Landing Page Submission,Direct Traffic,3.0,1528,1.5,Email Opened,Might be,Other Cities,Modified,Yes,No,1
164,Landing Page Submission,Google,6.0,919,6.0,Email Opened,High in Relevance,Mumbai,Email Opened,No,No,1
165,API,Organic Search,10.0,194,5.0,Email Link Clicked,Not Sure,Mumbai,Modified,No,No,0
166,API,Organic Search,1.0,1173,1.0,Converted to Lead,Not Sure,Mumbai,Modified,No,No,0
167,API,Google,2.0,351,2.0,Email Opened,Might be,Mumbai,Email Opened,No,No,0
168,Landing Page Submission,Referral Sites,12.0,493,12.0,Email Link Clicked,Not Sure,Thane & Outskirts,Email Link Clicked,Yes,No,0
169,Landing Page Submission,Direct Traffic,3.0,381,1.5,Page Visited on Website,Not Sure,Thane & Outskirts,Page Visited on Website,Yes,No,0
170,API,Referral Sites,2.0,1944,2.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
171,Landing Page Submission,Google,5.0,65,5.0,Unreachable,Might be,Thane & Outskirts,Modified,No,No,0
172,API,Organic Search,7.0,1334,7.0,Email Opened,Not Sure,Mumbai,Modified,Yes,No,0
173,API,Google,7.0,615,7.0,Form Submitted on Website,Not Sure,Thane & Outskirts,Modified,No,No,0
174,Lead Add Form,Reference,0.0,0,0.0,Email Opened,Low in Relevance,Mumbai,Email Opened,No,No,1
175,API,Google,1.0,250,1.0,Email Bounced,Not Sure,Mumbai,Modified,No,No,0
176,Landing Page Submission,Direct Traffic,2.0,383,2.0,Email Link Clicked,Not Sure,Other Metro Cities,Email Link Clicked,Yes,No,0
177,Lead Add Form,Welingak Website,3.0,1240,2.0,Email Opened,Low in Relevance,Mumbai,Modified,No,No,1
178,Lead Add Form,Reference,0.0,0,0.0,Email Opened,Might be,Mumbai,Email Opened,No,No,1
179,Lead Add Form,Welingak Website,3.0,458,2.0,Email Opened,Not Sure,Mumbai,Modified,No,No,1
180,Lead Add Form,Welingak Website,3.0,1060,2.0,Email Opened,Not Sure,Mumbai,Modified,No,No,1
181,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Modified,No,No,0
182,API,Referral Sites,4.0,904,4.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
183,API,Google,1.0,164,1.0,Converted to Lead,Not Sure,Mumbai,Modified,No,No,0
184,API,Google,2.0,1793,2.0,Converted to Lead,Not Sure,Mumbai,Modified,No,No,0
185,API,Organic Search,5.0,1841,5.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
186,API,Organic Search,8.0,877,2.67,Email Link Clicked,Might be,Mumbai,Email Link Clicked,No,No,1
187,Lead Add Form,Reference,0.0,0,0.0,Unreachable,High in Relevance,Mumbai,Modified,No,No,1
188,Landing Page Submission,Organic Search,12.0,1411,6.0,Email Opened,Might be,Other Cities,Email Opened,Yes,No,1
189,API,Organic Search,6.0,385,6.0,Converted to Lead,Low in Relevance,Thane & Outskirts,Modified,No,No,1
190,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
191,API,Google,12.0,68,1.71,Page Visited on Website,Not Sure,Mumbai,Modified,No,No,0
192,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
193,Landing Page Submission,Google,3.0,192,3.0,Email Opened,Not Sure,Thane & Outskirts,Email Opened,No,No,0
194,Landing Page Submission,Google,5.0,309,5.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
195,Lead Add Form,Reference,3.0,785,2.0,Approached upfront,Might be,Mumbai,Modified,No,No,1
196,API,Organic Search,4.0,342,4.0,Email Opened,Not Sure,Mumbai,Modified,No,No,0
197,API,Google,2.0,78,1.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
198,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
199,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
200,API,Organic Search,5.0,1234,1.67,Email Opened,Low in Relevance,Thane & Outskirts,Email Opened,No,No,1
201,API,Organic Search,8.0,14,8.0,Olark Chat Conversation,Worst,Mumbai,Modified,No,No,0
202,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
203,API,Referral Sites,4.0,77,4.0,Unreachable,Not Sure,Mumbai,Modified,No,No,0
204,API,Referral Sites,3.0,1299,3.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,1
205,Lead Add Form,Reference,0.0,0,0.0,Email Opened,High in Relevance,Other Cities of Maharashtra,Email Opened,No,No,1
206,API,Referral Sites,2.0,457,2.0,Email Opened,Not Sure,Mumbai,Modified,No,No,0
207,API,Organic Search,5.0,358,5.0,Page Visited on Website,Not Sure,Mumbai,Modified,No,No,0
208,Landing Page Submission,Direct Traffic,3.0,481,3.0,Email Link Clicked,Not Sure,Other Cities,Email Link Clicked,Yes,No,0
209,API,Direct Traffic,2.0,205,2.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
210,Landing Page Submission,Direct Traffic,1.0,1106,1.0,Converted to Lead,Might be,Other Cities,Modified,Yes,No,1
211,Landing Page Submission,Direct Traffic,9.0,1953,1.8,Email Opened,Might be,Thane & Outskirts,Modified,No,No,1
212,Lead Add Form,Reference,3.0,1070,2.0,Email Opened,High in Relevance,Other Cities,Modified,No,No,1
213,Lead Add Form,Reference,0.0,0,0.0,Email Opened,Might be,Mumbai,Email Opened,No,No,1
214,Landing Page Submission,Google,5.0,207,2.5,Form Submitted on Website,Not Sure,Mumbai,Modified,No,No,0
215,Landing Page Submission,Direct Traffic,2.0,1587,2.0,Email Opened,Might be,Other Cities,Email Opened,No,No,1
216,Landing Page Submission,Direct Traffic,2.0,1509,2.0,Email Opened,Worst,Mumbai,Modified,Yes,No,1
217,API,Organic Search,4.0,331,4.0,Unreachable,Might be,Mumbai,Modified,No,No,0
218,Landing Page Submission,Direct Traffic,4.0,187,4.0,Email Link Clicked,Not Sure,Mumbai,Modified,Yes,No,0
219,API,Organic Search,3.0,1407,1.5,Converted to Lead,Might be,Mumbai,Modified,No,No,1
220,Lead Add Form,Reference,0.0,0,0.0,Email Opened,High in Relevance,Mumbai,Modified,No,No,1
221,Landing Page Submission,Google,1.0,123,1.0,Converted to Lead,Might be,Other Cities,Modified,No,No,0
222,API,Organic Search,1.0,100,1.0,Converted to Lead,Not Sure,Mumbai,Modified,No,No,0
223,Landing Page Submission,Direct Traffic,9.0,1164,4.5,Email Opened,Might be,Mumbai,Email Opened,Yes,No,1
224,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
225,Landing Page Submission,Direct Traffic,1.0,1362,1.0,Unreachable,Might be,Other Cities of Maharashtra,Modified,No,No,1
226,API,Direct Traffic,7.0,1051,3.5,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
227,Landing Page Submission,Google,2.0,1816,2.0,Converted to Lead,Not Sure,Thane & Outskirts,Modified,No,No,0
228,Landing Page Submission,Direct Traffic,7.0,74,2.33,Unreachable,Not Sure,Mumbai,Modified,No,No,0
229,API,Organic Search,13.0,54,6.5,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
230,Landing Page Submission,Direct Traffic,3.0,1183,3.0,Email Opened,Not Sure,Thane & Outskirts,Email Opened,Yes,No,1
231,Landing Page Submission,Direct Traffic,3.0,66,3.0,Email Opened,Not Sure,Thane & Outskirts,Email Opened,Yes,No,0
232,API,Olark Chat,3.0,1122,1.5,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
233,Landing Page Submission,Organic Search,6.0,135,6.0,Email Opened,Might be,Mumbai,Email Opened,Yes,No,0
234,Landing Page Submission,Direct Traffic,9.0,307,1.8,Olark Chat Conversation,Not Sure,Mumbai,Modified,Yes,No,0
235,Landing Page Submission,Organic Search,12.0,28,6.0,Email Opened,Might be,Other Cities,Email Opened,Yes,No,0
236,API,Olark Chat,0.0,0,0.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
237,Landing Page Submission,google,5.0,306,5.0,Page Visited on Website,Not Sure,Other Cities,Modified,No,No,0
238,Landing Page Submission,Direct Traffic,7.0,116,7.0,Email Opened,Low in Relevance,Mumbai,Email Opened,Yes,No,1
239,Landing Page Submission,Direct Traffic,2.0,1054,2.0,Email Opened,Not Sure,Mumbai,Email Opened,Yes,No,0
240,API,Organic Search,3.0,195,3.0,Converted to Lead,Might be,Mumbai,Modified,No,No,1
241,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
242,Landing Page Submission,Google,3.0,732,3.0,Email Opened,Might be,Thane & Outskirts,Email Opened,No,No,1
243,API,Olark Chat,7.0,1130,2.33,Page Visited on Website,Not Sure,Mumbai,Modified,Yes,No,0
244,API,Organic Search,13.0,594,4.33,Had a Phone Conversation,Not Sure,Mumbai,Modified,No,No,0
245,API,Organic Search,5.0,1117,5.0,Email Opened,Not Sure,Mumbai,Email Opened,No,No,0
246,API,Referral Sites,14.0,354,14.0,Unreachable,Might be,Mumbai,Modified,No,No,0
247,API,Google,3.0,217,3.0,Unreachable,Might be,Mumbai,Modified,No,No,0
248,API,Olark Chat,0.0,0,0.0,Olark Chat Conversation,Not Sure,Mumbai,Modified,No,No,0
